"","Timestamp","Email Address","Food Pantry Name:","address","city","state","zip","Contact's Name:","Contact's Email Address:","WSDA/EFAP Lead Agency (e.g. Emergency Food Network):","Average number of clients served per month:","Hours and days of operation:","Estimated total food storage space in square feet:","Estimated warehouse or offsite storage if different than distribution space:","Do you have adequate shelving for storage and distribution?","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Fresh]","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Frozen]","In an average month, how close to capacity is your food pantry in the following storage categories? (1 = Empty, 10 = Full) [Dry]","What type of food would you like to receive more of? (choose all that apply)","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Fresh]","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Frozen]","In the past year, have you had to refuse food donations you otherwise would have accepted due to lack of storage? [Dry]","If yes, how many times in the past year have you refused donations you otherwise would have accepted?","Please give a few examples of donations you refused due to lack of storage over the past year.","How many reach-in commercial refrigerators do you have?","How many walk-in commercial refrigerators do you have?","How many home refrigerator/freezer combinations do you have?","How many reach-in commercial freezers do you have?","How many walk-in commercial freezers do you have?","How many home freezers do you have?","How many locker freezers do you have?","What equipment are you missing? (choose all that apply)","want_fork","want_jack","want_comp","want_tran","What capacity-related improvement would have the biggest impact on your work?","location","lat","lon"
"1",2018-01-09 13:43:00,"jpabiniak@hopelink.org","Hopelink Shoreline","17837 Aurora Ave N, Shoreline, WA, 98133","Shoreline","WA",98133,"Scott Milne","smilne@hopelink.org","Hopelink",1750,"Option 1",1800,"Option 1","Yes",7,7,5,"Fresh, Dry","Yes","No","No",10,"Mainly just optional fresh produce pickups that were presented to us. We turned them down due to a lack of cooler space/no need for them.",1,1,0,1,1,0,0,"Forklift",1,NA,NA,NA,"Slightly larger coolers and freezers would greatly improve our situation. Similarly, so would improved shelving in our coolers","list(lat = 47.7588147, lng = -122.3461885)","47.7588147","-122.3461885"
"2",2018-01-09 16:21:30,"chonn@hopelink.org","Kirkland Hopelink","11011 120th Ave NE, Kirkland, WA, 98034","Kirkland","WA",98034,"Clare Honn","chonn@hopelink.org","Hopelink",4000,"Option 1",750,"Option 1","Yes",9,8,6,"Fresh","Yes","Yes","No",10,"Milk, eggs, produce",2,1,0,1,1,0,0,NA,NA,NA,NA,1,"If we could get another walk-in refrigerator that would significantly increase our capacity.","list(lat = 47.6987817, lng = -122.1818137)","47.6987817","-122.1818137"
"3",2018-01-09 16:24:40,"patti_n@wgap.ws","Skamania Branch Food Bank","683 SW Rock Creek Dr, Stevenson, WA, 98648","Stevenson","WA",98648,"Patti Nichols","patti_n@wgap.ws","Washington Gorge Action Programs",600,"Option 1",400,"Option 1","No",8,9,7,"Fresh, Dry","Yes","No","No",5,"Apples and Pears from Gleaners",3,0,0,3,0,0,0,"Forklift, Pallet Jack, Transportation (ex. truck or van)",1,1,NA,NA,"Refigeration","list(lat = 45.6935906, lng = -121.8928735)","45.6935906","-121.8928735"
"4",2018-01-10 08:21:46,"cbuckler@hopelink.org","Bellevue Hopelink Food Bank","14812 Main St, Bellevue, WA, 98007","Bellevue","WA",98007,"Cain Buckler",NA,"Food Lifeline",600,"Option 1",1500,"Option 1","Yes",5,5,8,"Fresh, Frozen","No","No","No",3,"None",1,2,0,2,1,0,0,"Computers or Software",NA,NA,1,NA,"new freezer and fridge units that fit pallets.  More efficient shelving on food bank floor to store more food out there","list(lat = 47.6101989, lng = -122.1414751)","47.6101989","-122.1414751"
"5",2018-01-10 11:53:17,"jrushton@hopesource.us","HopeSource food bank","110 Penn Ave, Cle Elum, WA, 98922","Cle Elum","WA",98922,"JoAnn Rushton","jrushton@hopesource.us","FISH",210,"Option 1",840,"Option 1","No",7,5,8,"Frozen","No","No","Yes",4,"Canned tomato's, spaghetti, canned beans",0,0,4,0,0,5,0,"scale",NA,NA,NA,NA,"Space and walk in freezer and fridge","list(lat = 47.1943386, lng = -120.9382947)","47.1943386","-120.9382947"
"6",2018-01-10 12:30:34,"kcshoop@gmail.com","Upper Co. Comm. Food Bank","2128 Railroad St, Easton, WA, 98925","Easton","WA",98925,"Patty Radzykewycz",NA,"FISH",150,"Option 1",500,NA,"No",10,9,9,NA,"No","No","No",NA,NA,0,1,6,0,0,6,0,"Forklift, Pallet Jack, Transportation (ex. truck or van), Truck w/lift",1,1,NA,1,NA,"list(lat = 47.2354053, lng = -121.1758431)","47.2354053","-121.1758431"
"7",2018-01-10 15:30:51,"executive.director@nccfoodbank.org","North County Community Food Bank","17 NE 3rd Ave, Battle Ground, WA, 98604","Battle Ground","WA",98604,"Elizabeth Cerveny","executive.director@nccfoodbank.org","CCFB",625,"Option 1",950,"Option 1","No",6,9,9,"Fresh, Frozen, Dry","No","Yes","Yes",4,"Large food drive and frozen donations become a problem due to limited space",2,1,0,0,1,0,0,"Forklift, Pallet Jack, Transportation (ex. truck or van)",1,1,NA,1,"More space,  larger freezer/refrigeration capacity","list(lat = 45.7814231, lng = -122.5340793)","45.7814231","-122.5340793"
"8",2018-01-10 17:09:16,"office@68church.com","6:8 Food Pantry","8802 NW 9th Ave, Vancouver, WA, 98665","Vancouver","WA",98665,"Jim Huntamer","jim@68church.com","Don't Know",700,"Option 1",163,NA,"Yes",7,8,8,"Fresh, Frozen","No","No","No",NA,NA,2,0,0,2,0,4,0,NA,NA,NA,NA,NA,"Workroom for sorting & food prep; storage for non-food items","list(lat = 45.6861414, lng = -122.6805744)","45.6861414","-122.6805744"
"9",2018-01-10 17:25:20,"director@svdpvancouverusa.org","Vancouver St. Vincent de Paul Siciety Conference","2456 NE Stapleton Road, Vancouver, WA, 98661","Vancouver","WA",98661,"Carolyn Palmer","svdp@svdpvancouverusa.org","EFAP",4200,"Option 1",1600,NA,"No",4,5,5,"Fresh, Frozen","No","No","No",NA,NA,2,1,0,1,1,1,0,"Computers or Software, Shopping Carts!  the few that are donated go missing.  We provide a split pantry where we provide part of food to client and the balance is set up as shopping style.",NA,NA,1,NA,"More parking for our clients, more capacity to set up a shopping style pantry with a waiting room for our clients.  Park-like wooden bench's for outside, as they wait in line to entry on a cold, wet day.","list(lat = 45.6398918, lng = -122.6169393)","45.6398918","-122.6169393"
"10",2018-01-10 21:22:27,"vickijeanie@aol.com","Martha's Pantry","5701 MacArthur Blvd, Vancouver, WA, 98661","Vancouver","WA",98661,"Vicki Smith","vickijeanie@aol.com","Clark County Food Bank",70,"Option 1",300,NA,"Yes",7,7,7,"Fresh, Frozen, Dry","No","Yes","Yes",3,"NWH has offered more product than we have space to store including frozen meats, and oats and pasta",1,0,1,1,0,0,0,"Computers or Software, Transportation (ex. truck or van), Walk in freezer, commercial refrigerator",NA,NA,1,1,"commercial refrigerator","list(lat = 45.6228592, lng = -122.6124692)","45.6228592","-122.6124692"
